position,track,artist,featured_artists
60,September,"Earth, Wind & Fire",N/A
117,Hot Stuff,Kygo x Donna Summer,N/A
119,Without You,Luke Combs,Amanda Shires
132,Dolly,Lil Tecca & Lil Uzi Vert,N/A
140,When You Down,Lil Tecca & Polo G,Lil Durk
169,Back Door,Stray Kids,N/A
170,I Love You,TREASURE,N/A
178,Sweet But Psycho,Ava Max,N/A
180,Betty,Taylor Swift,N/A
186,Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",N/A
78,Jeans,Justin Quiles,N/A
193,+Linda,"Dalex, Arcangel, Manuel Turizo, De La Ghetto & Beele",N/A
165,"10,000 Hours",Dan + Shay & Justin Bieber,N/A
142,Neko,DISH//,N/A
60,Whole Lotta Choppas,Sada Baby,Nicki Minaj
7,Franchise,Travis Scott,Young Thug & M.I.A.
39,Forget Me Too,Machine Gun Kelly & Halsey,N/A
29,Vida de Rico,Camilo,N/A
47,Better,Zayn,N/A
10,Dreams,Fleetwood Mac,N/A
56,Epidemic,Polo G,N/A
74,Bloody Valentine,Machine Gun Kelly,N/A
106,Pa' Ti,Jennifer Lopez & Maluma,N/A
114,Ew,Joji,N/A
120,Drunk Face,Machine Gun Kelly,N/A
123,Gimme Love,Joji,N/A
125,Your Man,Joji,N/A
126,Daylight,Joji x Diplo,N/A
143,MODUS,Joji,N/A
152,All I Know,Machine Gun Kelly,Trippie Redd
163,Tick Tock,Joji,N/A
139,Acacia,BUMP OF CHICKEN,N/A
189,Kiss Kiss,Machine Gun Kelly,N/A
193,Pretty Boy,Joji,Lil Yachty
194,Courage To Change,Sia,N/A
197,Title Track,Machine Gun Kelly,N/A
21,Sweater Weather,The Neighbourhood,N/A
2,Lovesick Girls,BLACKPINK,N/A
9,Runnin,21 Savage & Metro Boomin,N/A
10,Mr. Right Now,21 Savage & Metro Boomin,Drake
13,Wonder,Shawn Mendes,N/A
22,Glock In My Lap,21 Savage & Metro Boomin,N/A
25,Bet You Wanna,BLACKPINK,Cardi B
29,Rich N*gga Sh*t,21 Savage & Metro Boomin,Young Thug
32,Pretty Savage,BLACKPINK,N/A
35,Slidin,21 Savage & Metro Boomin,N/A
36,Many Men,21 Savage & Metro Boomin,N/A
41,Outta Time,Bryson Tiller,Drake
49,Crazy Over You,BLACKPINK,N/A
2,Levitating,Dua Lipa,N/A
54,Love To Hate Me,BLACKPINK,N/A
61,Don't Stop,Megan Thee Stallion,Young Thug
63,My Dawg,21 Savage & Metro Boomin,N/A
64,You Never Know,BLACKPINK,N/A
65,Brand New Draco,21 Savage & Metro Boomin,N/A
71,Snitches & Rats,21 Savage & Metro Boomin,Young Nudy
86,No Opp Left Behind,21 Savage & Metro Boomin,N/A
99,Steppin On N*ggas,21 Savage & Metro Boomin,N/A
101,RIP Luv,21 Savage & Metro Boomin,N/A
109,Years Go By,Bryson Tiller,N/A
113,Always Forever,Bryson Tiller,N/A
119,Said N Done,21 Savage & Metro Boomin,N/A
126,Jump,Van Halen,N/A
150,Heart Of Glass,Miley Cyrus,N/A
157,Sorrows,Bryson Tiller,N/A
161,I'm Ready For You,Bryson Tiller,N/A
45,In The End,Linkin Park,N/A
167,Things Change,Bryson Tiller,N/A
172,Inhale,Bryson Tiller,N/A
186,Next To You,Bryson Tiller,N/A
142,The Chain,Fleetwood Mac,N/A
102,Sofia,Clairo,N/A
56,"Baby, I'm Jealous",Bebe Rexha,Doja Cat
8,Homura,LiSA,N/A
128,Make A Wish (Birthday Song),NCT,N/A
150,Shot In The Dark,AC/DC,N/A
59,La Nota,"Manuel Turizo, Myke Towers & Rauw Alejandro",N/A
99,Deep End,Foushee,N/A
144,Thunderstruck,AC/DC,N/A
191,Back In Black,AC/DC,N/A
73,Gurenge,LiSA,N/A
82,Mi Nina,"Los Legendarios, Wisin & Myke Towers",N/A
191,One Beer,HARDY,Lauren Alaina & Devin Dawson
33,Someone Like You,Adele,N/A
5,Lonely,Justin Bieber & benny blanco,N/A
67,You're Mines Still,Yung Bleu,Drake
109,Hate The Way,G-Eazy,blackbear
73,Train Wreck,James Arthur,N/A
142,Let Me Love You Like A Woman,Lana Del Rey,N/A
158,Ddu-du Ddu-du,BLACKPINK,N/A
169,I Should Probably Go To Bed,Dan + Shay,N/A
180,Fake,Lauv & Conan Gray,N/A
181,Kill This Love,BLACKPINK,N/A
87,Better Together,Luke Combs,N/A
156,You Are The Reason,Calum Scott & Leona Lewis,N/A
57,Take On Me,a-ha,N/A
1,Positions,Ariana Grande,N/A
4,Forever After All,Luke Combs,N/A
31,I Can't Stop Me,TWICE,N/A
39,Tyler Herro,Jack Harlow,N/A
41,Spicy,Ty Dolla $ign,Post Malone
62,Golden,Harry Styles,N/A
72,Sweet Melody,Little Mix,N/A
43,So Done,Kid LAROI,N/A
7,Bichota,Karol G,N/A
129,Damage,H.E.R.,N/A
137,Angeklagt,Bonez MC,N/A
138,The Other Guy,Luke Combs,N/A
152,Back To The Streets,Saweetie,Jhene Aiko
28,Thriller,Michael Jackson,N/A
10,Whoopty,CJ,N/A
170,Promiscuous,Nelly Furtado,Timbaland
171,Recairei,Os Baroes da Pisadinha,N/A
184,Beer Never Broke My Heart,Luke Combs,N/A
180,Practice,DaBaby,N/A
189,"Thank U, Next",Ariana Grande,N/A
190,Cold As You,Luke Combs,N/A
193,Madrid,Maluma & Myke Towers,N/A
74,Chica Ideal,Sebastian Yatra & Guaynaa,N/A
79,Counting Stars,OneRepublic,N/A
1,Dakiti,Bad Bunny & Jhay Cortez,N/A
2,34+35,Ariana Grande,N/A
16,Motive,Ariana Grande,Doja Cat
18,Off The Table,Ariana Grande,The Weeknd
22,pov,Ariana Grande,N/A
26,Just Like Magic,Ariana Grande,N/A
28,Shut Up,Ariana Grande,N/A
33,Safety Net,Ariana Grande,Ty Dolla $ign
36,Nasty,Ariana Grande,N/A
44,My Hair,Ariana Grande,N/A
45,Six Thirty,Ariana Grande,N/A
56,Obvious,Ariana Grande,N/A
64,West Side,Ariana Grande,N/A
67,Love Language,Ariana Grande,N/A
69,Fever,Dua Lipa,Angele
52,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",N/A
42,Ghostbusters,Ray Parker Jr.,N/A
