position,track,artist,featured_artists
12,Rumors,Lizzo,Cardi B
3,Cold Heart (PNAU Remix),Elton John & Dua Lipa,N/A
55,Don't Be Shy,Tiesto & Karol G,N/A
82,Bilmem Mi?,Sefo,N/A
88,Bachpan Ka Pyaar,"Sahdev Dirdo, Badshah, Aastha Gill & Rico",N/A
96,Queendom,Red Velvet,N/A
99,Papercuts,Machine Gun Kelly,N/A
103,Inferno,Sub Urban & Bella Poarch,N/A
109,Paralyzed,Sueco,N/A
123,Suiheisen,back number,N/A
101,Chosen,Blxst & Tyga,Ty Dolla $ign
139,Quer Voar,Matue,N/A
141,Love Me Now,Kygo,Zoe Wees
132,Dark Red,Steve Lacy,N/A
57,"Raataan Lambiyan (From ""Shershaah"")",Jubin Nautiyal & Asees Kaur,N/A
200,Mind Of Melvin,YNW Melly,Lil Uzi Vert
21,Visiting Hours,Ed Sheeran,N/A
35,Summer Of Love,Shawn Mendes & Tainy,N/A
38,Don't Go,"Skrillex, Justin Bieber & Don Toliver",N/A
60,Matt Hardy 999,Trippie Redd,Juice WRLD
61,I Guess I'm In Love,Clinton Kane,N/A
67,Rich MF,Trippie Redd,Lil Durk & Polo G
80,Thunderous,Stray Kids,N/A
90,Betrayal,Trippie Redd,Drake
93,Mood Ring,Lorde,N/A
70,Like I Can,Sam Smith,N/A
109,Already Won,Rod Wave,Lil Durk
138,"Ranjha (From ""Shershaah"")",Jasleen Royal & B. Praak,N/A
155,MP5,Trippie Redd,SoFaygo
140,Chega E Senta,John Amplificado,N/A
184,Lo$er=Lo<3er,TOMORROW X TOGETHER,N/A
52,Out Out,"Joel Corry, Jax Jones, Charli XCX & Saweetie",N/A
195,Danny Phantom,Trippie Redd,XXXTENTACION
196,Tick Tock,Young Thug,N/A
5,Hurricane,Kanye West,N/A
6,Jail,Kanye West,N/A
7,Off The Grid,Kanye West,N/A
11,Ok Ok,Kanye West,N/A
13,Junya,Kanye West,N/A
17,Praise God,Kanye West,N/A
20,Moon,Kanye West,N/A
23,Jesus Lord,Kanye West,N/A
24,Jonah,Kanye West,N/A
25,Family Ties,Baby Keem & Kendrick Lamar,N/A
26,Believe What I Say,Kanye West,N/A
28,God Breathed,Kanye West,N/A
36,Heaven And Hell,Kanye West,N/A
38,Remote Control,Kanye West,N/A
40,24,Kanye West,N/A
42,No Child Left Behind,Kanye West,N/A
42,Sharing Locations,Meek Mill,Lil Baby & Lil Durk
45,Pure Souls,Kanye West,N/A
48,Donda,Kanye West,N/A
51,Keep My Spirit Alive,Kanye West,N/A
56,New Again,Kanye West,N/A
58,Lord I Need You,Kanye West,N/A
60,Jail Pt 2,Kanye West,N/A
65,Come To Life,Kanye West,N/A
73,"I Am Not A Woman, I'm A God",Halsey,N/A
86,Tell The Vision,Kanye West,N/A
162,Die For It,Belly & The Weeknd,Nas
42,Rolling In The Deep,Adele,N/A
161,Gyalis,Capella Grey,N/A
2,Way 2 Sexy,Drake,Future & Young Thug
3,Girls Want Girls,Drake,Lil Baby
4,Fair Trade,Drake,Travis Scott
5,Champagne Poetry,Drake,N/A
6,Knife Talk,Drake,21 Savage & Project Pat
8,Papi's Home,Drake,N/A
9,In The Bible,Drake,Lil Durk & Giveon
10,Love All,Drake,JAY-Z
11,TSU,Drake,N/A
12,No Friends In The Industry,Drake,N/A
14,N 2 Deep,Drake,Future
15,Pipe Down,Drake,N/A
16,7am On Bridle Path,Drake,N/A
17,Race My Mind,Drake,N/A
24,Yebba’s Heartbreak,Drake & Yebba,N/A
25,IMY2,Drake,Kid Cudi
26,Fountains,Drake,Tems
27,You Only Live Twice,Drake,Lil Wayne & Rick Ross
33,Get Along Better,Drake,Ty Dolla $ign
36,Fucking Fans,Drake,N/A
38,The Remorse,Drake,N/A
54,Don't Shut Me Down,ABBA,N/A
62,I Still Have Faith In You,ABBA,N/A
21,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,N/A
79,Ley Seca,Jhay Cortez & Anuel AA,N/A
147,Blue Note$ II,Meek Mill,Lil Uzi Vert
152,Dancing Queen,ABBA,N/A
164,Good Ones,Charli xcx,N/A
26,Life Goes On,Oliver Tree,N/A
129,Arranhao,Henrique & Juliano,N/A
195,Hot Demon B!tches Near U ! ! !,CORPSE & Night Lovell,N/A
2,Lalisa,LISA,N/A
3,Shivers,Ed Sheeran,N/A
2,Love Nwantiti (Ah Ah Ah),CKay,N/A
10,Money,LISA,N/A
45,Have Mercy,Chloe,N/A
73,Range Brothers,Baby Keem & Kendrick Lamar,N/A
75,Una Nota,J Balvin & Sech,N/A
81,Nostalgico,"Rvssian, Rauw Alejandro & Chris Brown",N/A
125,Lonely,DaBaby X Lil Wayne,N/A
22,Where Are You Now,Lost Frequencies & Calum Scott,N/A
117,Buy Dirt,Jordan Davis,Luke Bryan
107,Life Support,YoungBoy Never Broke Again,N/A
148,A La Antiguita,Calibre 50,N/A
194,2CB,RAF Camora & Luciano,N/A
200,Obsessed With You,Central Cee,N/A
4,Thats What I Want,Lil Nas X,N/A
19,Wildest Dreams (Taylor's Version),Taylor Swift,N/A
36,Scoop,Lil Nas X,Doja Cat
43,Dolla Sign Slime,Lil Nas X,Megan Thee Stallion
54,Dead Right Now,Lil Nas X,N/A
73,Tales Of Dominica,Lil Nas X,N/A
79,One Of Me,Lil Nas X,Elton John
87,Lost In The Citadel,Lil Nas X,N/A
89,Am I Dreaming,Lil Nas X,Miley Cyrus
101,Sticker,NCT 127,N/A
105,Romance,YOASOBI,N/A
106,Dont Want It,Lil Nas X,N/A
141,Void,Lil Nas X,N/A
170,Wildest Dreams,Taylor Swift,N/A
183,Life After Salem,Lil Nas X,N/A
75,On My Side,YoungBoy Never Broke Again,N/A
1,My Universe,Coldplay x BTS,N/A
42,Your Heart,Joyner Lucas & J. Cole,N/A
44,Loco,iTZY,N/A
32,Too Easy,Gunna & Future,N/A
55,Bad Morning,YoungBoy Never Broke Again,N/A
77,No Where,YoungBoy Never Broke Again,N/A
75,Bored,Billie Eilish,N/A
96,Sejodioto,Karol G,N/A
103,Hold Me Down,YoungBoy Never Broke Again,N/A
109,Nevada,YoungBoy Never Broke Again,N/A
110,For Tonight,Giveon,N/A
118,50 Shots,YoungBoy Never Broke Again,N/A
124,Smoke Strong,YoungBoy Never Broke Again,N/A
149,Sincerely,YoungBoy Never Broke Again,N/A
151,Break Or Make Me,YoungBoy Never Broke Again,N/A
156,I Can't Take It Back,YoungBoy Never Broke Again,N/A
128,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,N/A
184,Rich Shit,YoungBoy Never Broke Again,N/A
111,Jugaste y Sufri,Eslabon Armado,DannyLux
12,The Feels,TWICE,N/A
53,Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",N/A
56,Intro (Hate On Me),Meek Mill,N/A
12,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",N/A
39,Savage,aespa,N/A
112,Hot,Meek Mill,Moneybagg Yo
145,El Incomprendido,"Farruko, Victor Cardenas & DJ Adoni",N/A
153,On My Soul,Meek Mill,N/A
160,Expensive Pain,Meek Mill,N/A
174,Outside (100 MPH),Meek Mill,N/A
175,She Knows,J. Cole,Amber Coffman & The Cults
39,Without Me,Eminem,N/A
73,Esta Danada,Ivan Cornejo,N/A
59,The Real Slim Shady,Eminem,N/A
187,Fue Mejor,Kali Uchis & PARTYNEXTDOOR Or SZA,N/A
186,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,N/A
37,Who Want Smoke??,Nardo Wick,"G Herbo, Lil Durk & 21 Savage"
46,Flocky Flocky,Don Toliver,Travis Scott
67,MAMMAMIA,Maneskin,N/A
86,Boyz,Jesy Nelson,Nicki Minaj
90,Red Eye,Justin Bieber,TroyBoi
56,WFM,RealestK,N/A
37,When We Were Young,Adele,N/A
116,Classic,MKTO,N/A
140,Ateo,C. Tangana & Nathy Peluso,N/A
96,Coracao Cachorro,Avine Vinny E Matheus Fernandes,N/A
93,Acapulco,Jason Derulo,N/A
111,Careless Whisper,Wham!,George Michael
166,No Time To Die,Billie Eilish,N/A
165,Edamame,bbno$,Rich Brian
174,Revoada No Colchao,Ze Felipe E Marcynho Sensacao,N/A
1,Easy On Me,Adele,N/A
198,Way Bigger,Don Toliver,N/A
25,Bubbly,Young Thug With Drake & Travis Scott,N/A
32,Let Somebody Go,Coldplay X Selena Gomez,N/A
48,Indigo,Camilo y Evaluna,N/A
54,Love In The Dark,Adele,N/A
64,Set Fire To The Rain,Adele,N/A
67,Pissed Me Off,Lil Durk,N/A
71,Hello,Adele,N/A
79,Send My Love (To Your New Lover),Adele,N/A
33,Better Days,NEIKED X Mae Muller X Polo G,N/A
95,Livin It Up,Young Thug With Post Malone & A$AP Rocky,N/A
51,Ex For A Reason,Summer Walker & JT,N/A
107,Akeboshi,LiSA,N/A
110,All I Ask,Adele,N/A
113,Chasing Pavements,Adele,N/A
114,Stressed,Young Thug With J. Cole & T-Shyne,N/A
35,Somebody's Watching Me,Rockwell,N/A
135,Make You Feel My Love,Adele,N/A
98,Let's Go Brandon,Loza Alexander,N/A
143,Sante,Stromae,N/A
153,Rich N***a Shit,Young Thug With Juice WRLD,N/A
164,Boy,King Gnu,N/A
55,I Love You So,The Walters,N/A
188,Venom,Eminem,N/A
10,Moth To A Flame,Swedish House Mafia & The Weeknd,N/A
19,SG,"DJ Snake, Ozuna, Lisa & Megan Thee Stallion",N/A
68,Rock With You,SEVENTEEN,N/A
78,Let's Go Brandon,Bryson Gray,Tyson James & Chandler Crump
92,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",N/A
79,Ghost Town,Benson Boone,N/A
140,Demons,Imagine Dragons,N/A
155,Present,Khalid,N/A
186,Favorite,NCT 127,N/A
11,Overpass Graffiti,Ed Sheeran,N/A
48,First Times,Ed Sheeran,N/A
33,2step,Ed Sheeran,Lil Baby
68,Tides,Ed Sheeran,N/A
60,Toxic,BoyWithUke,N/A
3,Enemy,Imagine Dragons X JID,N/A
10,The Joker And The Queen,Ed Sheeran,Taylor Swift
101,Collide,Ed Sheeran,N/A
106,Leave Your Life,Ed Sheeran,N/A
118,Stop The Rain,Ed Sheeran,N/A
71,"Spooky, Scary Skeletons",Andrew Gold,N/A
121,Demon High,Lil Uzi Vert,N/A
134,Love In Slow Motion,Ed Sheeran,N/A
26,Sad Girlz Luv Money,Amaarae & Moliy,Kali Uchis
15,Do It To It,Acraze,Cherish
159,Dictadura,Anuel AA,N/A
182,Nuestra Cancion,Monsieur Perine,Vicente Garcia
185,XOXO,JEON SOMI,N/A
186,Tell It To My Heart,MEDUZA,Hozier
9,One Right Now,Post Malone & The Weeknd,N/A
10,Escape Plan,Travis Scott,N/A
8,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
17,No Love,Summer Walker & SZA,N/A
19,Mafia,Travis Scott,N/A
36,Bitter,Summer Walker & Cardi B,N/A
48,Throw It Away,Summer Walker,N/A
54,Reciprocate,Summer Walker,N/A
58,Toxic,Summer Walker,Lil Durk
59,Unloyal,Summer Walker & Ari Lennox,N/A
68,You Don’t Know Me,Summer Walker,N/A
69,Constant Bulls**t,Summer Walker,N/A
75,Insane,Summer Walker,N/A
87,Circus,Summer Walker,N/A
17,The Motto,Tiesto & Ava Max,N/A
90,Yours,JIN,N/A
92,Switch A N*gga Out,Summer Walker,N/A
94,4th Baby Mama,Summer Walker,N/A
96,Closure,Summer Walker,N/A
97,Esqueca-Me Se For Capaz,Marilia Mendonca & Maiara & Maraisa,N/A
112,Todo Mundo Menos Voce,Marilia Mendonca & Maiara & Maraisa,N/A
116,Betelgeuse,Yuuri,N/A
122,"Bzrp Music Sessions, Vol. 46",Bizarrap & Anuel AA,N/A
123,Session 33,Summer Walker,N/A
55,Enchanted,Taylor Swift,N/A
144,Dat Right There,"Summer Walker, Pharrell Williams & The Neptunes",N/A
150,Screwin,Summer Walker & Omarion,N/A
156,Broken Promises,Summer Walker,N/A
136,Salimo de Noche,Tiago PZK x Trueno,N/A
138,Lost In The Fire,Gesaffelstein & The Weeknd,N/A
73,Mon Amour,zzoilo,N/A
195,Jumpin,NLE Choppa,Polo G
1,All Too Well (Taylor's Version),Taylor Swift,N/A
12,State Of Grace (Taylor's Version),Taylor Swift,N/A
13,Red (Taylor's Version),Taylor Swift,N/A
17,Already Dead,Juice WRLD,N/A
22,I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift,Chris Stapleton
23,I Knew You Were Trouble (Taylor's Version),Taylor Swift,N/A
24,Run (Taylor's Version) (From The Vault),Taylor Swift,Ed Sheeran
30,22 (Taylor's Version),Taylor Swift,N/A
33,Nothing New (Taylor's Version) (From The Vault),Taylor Swift,Phoebe Bridgers
34,La Fama,Rosalia,The Weeknd
41,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,N/A
42,Treacherous (Taylor's Version),Taylor Swift,N/A
46,Better Man (Taylor's Version) (From The Vault),Taylor Swift,N/A
50,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,N/A
52,Scientist,TWICE,N/A
54,I Almost Do (Taylor's Version),Taylor Swift,N/A
58,Bad Man (Smooth Criminal),Polo G,N/A
59,Everything Has Changed (Taylor's Version),Taylor Swift,Ed Sheeran
61,The Last Time (Taylor's Version),Taylor Swift,Gary Lightbody Of Snow Patrol
1,abcdefu,GAYLE,N/A
66,Stay Stay Stay (Taylor's Version),Taylor Swift,N/A
68,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,N/A
71,Babe (Taylor's Version) (From The Vault),Taylor Swift,N/A
74,Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
76,Begin Again (Taylor's Version),Taylor Swift,N/A
77,Holy Ground (Taylor's Version),Taylor Swift,N/A
78,After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,N/A
87,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,N/A
92,Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
93,The Lucky One (Taylor's Version),Taylor Swift,N/A
94,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,N/A
95,The Moment I Knew (Taylor's Version),Taylor Swift,N/A
97,Come Back...Be Here (Taylor's Version),Taylor Swift,N/A
102,Starlight (Taylor's Version),Taylor Swift,N/A
103,Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
105,Feel Like Shit,Tate McRae,N/A
118,Girl At Home (Taylor's Version),Taylor Swift,N/A
122,Doin' This,Luke Combs,N/A
132,777,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
133,Bite Me,Avril Lavigne,N/A
125,Bar,TINI & L-Gante,N/A
142,Ronan (Taylor's Version),Taylor Swift,N/A
110,Ameaca,"Paulo Pires, MC Danny E Marcynho Sensacao",N/A
32,Blank Space,Taylor Swift,N/A
176,Silk Sonic Intro,Silk Sonic (Bruno Mars & Anderson .Paak),N/A
3,Oh My God,Adele,N/A
10,I Drink Wine,Adele,N/A
12,My Little Love,Adele,N/A
13,Can I Get It,Adele,N/A
18,Strangers By Nature,Adele,N/A
19,To Be Loved,Adele,N/A
21,Cry Your Heart Out,Adele,N/A
25,Hold On,Adele,N/A
27,All Night Parking (Interlude),Adele With Erroll Garner,N/A
28,Woman Like Me,Adele,N/A
33,Love Is A Game,Adele,N/A
114,Subelo,"Anuel AA, Myke Towers & Jhay Cortez",N/A
56,I Am Woman,Emmy Meli,N/A
170,Presepada,Marilia Mendonca & Maiara & Maraisa,N/A
55,Kimini Muchuu,Hikaru Utada,N/A
119,By Your Side,Rod Wave,N/A
2,Die For You,The Weeknd & Ariana Grande,N/A
16,Super Gremlin,Kodak Black,N/A
169,Dance Crip,Trueno,N/A
80,Medallo,"Blessd, Justin Quiles & Lenny Tavarez",N/A
23,Infinity,Jaymes Young,N/A
98,Christmas Tree Farm (Old Timey Version),Taylor Swift,N/A
198,Always Been You,Jessie Murph,N/A
11,I Hate U,SZA,N/A
14,Merry Christmas,Ed Sheeran & Elton John,N/A
44,Wandered To LA.,Juice WRLD & Justin Bieber,N/A
37,Zankyosanka,Aimer,N/A
68,Eleven,IVE,N/A
49,It'll Be Okay,Shawn Mendes,N/A
115,Jefe,Ninho,N/A
118,Don't Play,Polo G,Lil Baby
93,Winter Wonderland,Darlene Love,N/A
72,Tacones Rojos,Sebastian Yatra,N/A
198,Just Look Up,Ariana Grande & Kid Cudi,N/A
37,Girl Of My Dreams,Juice WRLD & SUGA,N/A
43,Burn,Juice WRLD,N/A
65,Feline,"Juice WRLD, Polo G & Trippie Redd",N/A
78,Ichizu,King Gnu,N/A
90,Rockstar In His Prime,Juice WRLD,N/A
93,You Wouldn't Understand,Juice WRLD,N/A
102,Doom,Juice WRLD,N/A
117,Go Hard,Juice WRLD,N/A
120,Not Enough,Juice WRLD,N/A
151,Man In The Mirror,A Boogie Wit da Hoodie,N/A
152,Pope Is A Rockstar,SALES,N/A
108,I'll Be Home For Christmas,Camila Cabello,N/A
159,From My Window,Juice WRLD,N/A
163,Relocate,Juice WRLD,N/A
78,Christmas (Baby Please Come Home),Mariah Carey,N/A
194,Feel Alone,Juice WRLD,N/A
150,Pick Out A Christmas Tree,Dan + Shay,N/A
32,Broadway Girls,Lil Durk,Morgan Wallen
48,Sausage Rolls For Everyone,LadBaby,Ed Sheeran & Elton John
47,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,N/A
138,25 Million,Roddy Ricch,N/A
165,The Christmas Sweater,Michael Buble,N/A
175,Boris Johnson Is STILL A Fucking Cunt,The Kunts,N/A
105,Vai La Em Casa Hoje,George Henrique & Rodrigo,Marilia Mendonca
150,"Mary, Did You Know?",Pentatonix,N/A
181,Hibachi,Roddy Ricch,Kodak Black & 21 Savage
185,Where Are You Christmas?,Faith Hill,N/A
13,Desesperados,Rauw Alejandro & Chencho Corleone,N/A
200,Moved To Miami,Roddy Ricch,Lil Baby
51,Christmas Tree,V,N/A
34,Peru,Fireboy DML & Ed Sheeran,N/A
1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",N/A
90,Sakayume,King Gnu,N/A
9,Surface Pressure,Jessica Darrow,N/A
99,Toma Toma Vapo Vapo,Ze Felipe & MC Danny,N/A
47,Malvadao 3,"Xama, Gustah & Neo Beats",N/A
166,Silver Bells,Andy Williams,N/A
92,Jingle Bell Rock,Daryl Hall  John Oates,N/A
157,Parada Louca,Mari Fernandez & Marcynho Sensacao,N/A
58,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago pzk,N/A
33,Hrs And Hrs,Muni Long,N/A
82,When I'm Gone,Alesso / Katy Perry,N/A
13,Fingers Crossed,Lauren Spencer Smith,N/A
20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",N/A
64,To The Moon!,JNR CHOI & Sam Tompkins,N/A
34,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,N/A
26,Dos Oruguitas,Sebastian Yatra,N/A
52,Locked Out Of Heaven,Bruno Mars,N/A
116,Step Back,GOT The Beat,N/A
142,I Gotta Feeling,The Black Eyed Peas,N/A
133,Can't Hold Us,Macklemore & Ryan Lewis,Ray Dalton
51,Waiting On A Miracle,Stephanie Beatriz,N/A
143,Pursuit Of Happiness (Nightmare),Kid Cudi,MGMT & Ratatat
188,Hasta La Raiz,Natalia LaFourcade,N/A
192,Flower Shops,ERNEST,Morgan Wallen
184,No Lie,Sean Paul,Dua Lipa
197,Dreams Come True,aespa,N/A
200,Si Te Pudiera Mentir,Calibre 50,N/A
2,Sacrifice,The Weeknd,N/A
14,Gasoline,The Weeknd,N/A
15,Out Of Time,The Weeknd,N/A
16,Is There Someone Else?,The Weeknd,N/A
17,How Do I Make You Love Me?,The Weeknd,N/A
10,Pushin P,Gunna & Future,Young Thug
24,Less Than Zero,The Weeknd,N/A
26,Here We Go... Again,The Weeknd,"Tyler, The Creator"
27,Best Friends,The Weeknd,N/A
28,Dawn FM,The Weeknd,N/A
33,I Heard You’re Married,The Weeknd,Lil Wayne
37,Starry Eyes,The Weeknd,N/A
38,Thought I Was Playing,Gunna & 21 Savage,N/A
42,25k Jacket,Gunna,Lil Baby
51,How You Did That,Gunna,Kodak Black
52,Poochie Gown,Gunna,N/A
54,Don't Break My Heart,The Weeknd,N/A
56,Mop,Gunna,Young Thug
57,Alotta Cake,Gunna,N/A
67,Every Angel Is Terrifying,The Weeknd,N/A
82,Livin Wild,Gunna,N/A
84,Private Island,Gunna,N/A
86,IDK That Bitch,Gunna,G Herbo
94,South To West,Gunna,N/A
97,You & Me,Gunna & Chloe,N/A
77,Wa Da Da,Kep1er,N/A
125,Flooded,Gunna,N/A
65,Softcore,The Neighbourhood,N/A
131,Oo Antava Oo Oo Antava,Indravathi Chauhan,N/A
137,Circles Around This Town,Maren Morris,N/A
143,Die Alone,Gunna & Chris Brown,Yung Bleu
147,Love Grows (Where My Rosemary Goes),Edison Lighthouse,N/A
149,Miserable Man,David Kushner,N/A
81,Srivalli,Sid Sriram,N/A
111,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",N/A
129,There's Nothing Holdin' Me Back,Shawn Mendes,N/A
195,So Far Ahead > Empire,Gunna,N/A
30,P Power,Gunna,Drake
35,Eazy,The Game & Kanye West,N/A
43,Lost,Frank Ocean,N/A
109,L'enfer,Stromae,N/A
104,Mal Feito,Hugo & Guilherme E Marilia Mendonca,N/A
148,Iffy,Chris Brown,N/A
144,Bloqueado,Gusttavo Lima,N/A
49,Surround Sound,JID,21 Savage & Baby Tate
25,Middle Of The Night,Elley Duhe,N/A
51,Dandelions,Ruth B.,N/A
192,Bring The Hook,YoungBoy Never Broke Again,N/A
21,Light Switch,Charlie Puth,N/A
49,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,N/A
83,Cold December,Rod Wave,N/A
101,Watercolor Eyes,Lana Del Rey,N/A
106,212,Chefin,N/A
109,Paradise By The Dashboard Light,Meat Loaf,N/A
125,AA,Walker Hayes,N/A
143,Flossin',Internet Money,YoungBoy Never Broke Again
58,All For Us,Labrinth,N/A
158,Two Out Of Three Ain't Bad,Meat Loaf,N/A
105,Down Under,Luude,Colin Hay
171,No Switch,YoungBoy Never Broke Again,N/A
166,"Colombia, Mi Encanto",Carlos Vives,N/A
182,Bring It On,YoungBoy Never Broke Again,N/A
191,Pandora,"DJ Matt-D, Vulgo FK, Menor MC & MC GP",N/A
47,Ginseng Strip 2002,Yung Lean,N/A
67,High,The Chainsmokers,N/A
100,Rumors,Gucci Mane,Lil Durk
40,Numb Little Bug,Em Beihold,N/A
124,Boys Don't Cry,Anitta,N/A
139,Johnny P's Caddy,Benny The Butcher & J. Cole,N/A
15,Brividi,Mahmood & BLANCO,N/A
143,Vice City,XXXTENTACION,N/A
125,Mujeriego,Ryan Castro,N/A
94,505,Arctic Monkeys,N/A
121,Formula,Labrinth,N/A
123,La Cancion,J Balvin & Bad Bunny,N/A
200,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,N/A
7,Do We Have A Problem?,Nicki Minaj X Lil Baby,N/A
31,She's All I Wanna Be,Tate McRae,N/A
36,Cigarettes,Juice WRLD,N/A
51,Black Summer,Red Hot Chili Peppers,N/A
59,Don't Play That,King Von & 21 Savage,N/A
91,Emo Girl,Machine Gun Kelly & WILLOW,N/A
92,The Rumbling,SiM,N/A
101,Saoko,Rosalia,N/A
82,Malvada,Ze Felipe,N/A
118,Ovunque Sarai,Irama,N/A
125,Doja,$NOT & A$AP Rocky,N/A
132,Notion,The Rare Occasions,N/A
158,Ciao Ciao,La Rappresentante di Lista,N/A
16,Still D.R.E.,Dr. Dre,Snoop Dogg
176,Scared Money,YG,J. Cole & Moneybagg Yo
183,Gospel,Dr. Dre & Eminem,N/A
188,Pop Song,Kenshi Yonezu,N/A
151,La Santa,Bad Bunny X Daddy Yankee,N/A
4,MAMIII,Becky G X Karol G,N/A
13,Stay Alive,Jung Kook,N/A
27,Bussin,Nicki Minaj X Lil Baby,N/A
17,Boyfriend,Dove Cameron,N/A
35,The Next Episode,Dr. Dre,Snoop Dogg
43,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",N/A
44,In Da Club,50 Cent,N/A
61,Worst Day,Future,N/A
77,California Love,2Pac,Dr. Dre And Roger Troutman
100,Forgot About Dre,Dr. Dre,Eminem
111,Family Affair,Mary J. Blige,N/A
115,'Till I Collapse,Eminem,Nate Dogg
63,Mount Everest,Labrinth,N/A
30,Humble.,Kendrick Lamar,N/A
150,"Nuthin' But A ""G"" Thang",Dr. Dre,N/A
150,Stan,Eminem,Dido
79,Unstoppable,Sia,N/A
162,Love The Way You Lie,Eminem,Rihanna
141,'Til You Can't,Cody Johnson,N/A
23,Nail Tech,Jack Harlow,N/A
36,Ya No Somos Ni Seremos,Christian Nodal,N/A
109,Banking On Me,Gunna,N/A
110,JIKJIN,TREASURE,N/A
33,Ahhh Ha,Lil Durk,N/A
121,Geccek,Tarkan,N/A
137,Pray,Jessie Murph,N/A
152,A Tu Merced,Bad Bunny,N/A
32,Big Energy,Latto,N/A
84,Dancarina,Pedro Sampaio & MC Pedrinho,N/A
145,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune, Bejo, La Pantera, Juseph & Abhir Hathi",N/A
196,House On Fire,Mimi Webb,N/A
37,Freaky Deaky,Tyga X Doja Cat,N/A
29,I'm Tired,Labrinth & Zendaya,N/A
63,Chameleon,King Gnu,N/A
141,Botadinha Saliente,MC Rogerinho,N/A
119,Yo Voy,Zion & Lennox,Daddy Yankee
162,Depende,DJ Guuga,N/A
165,Dancing Feet,Kygo,DNCE
5,Bam Bam,Camila Cabello,Ed Sheeran
20,"Bzrp Music Sessions, Vol. 49",Bizarrap & Residente,N/A
23,Something In The Way,Nirvana,N/A
74,Attention,Omah Lay & Justin Bieber,N/A
58,Starlight,Dave,N/A
2,Envolver,Anitta,N/A
92,Ay!,Machine Gun Kelly & Lil Wayne,N/A
57,Handsomer,Russ,Ktlyn
131,Finesse,Pheelz x Buju,N/A
29,Una Noche En Medellin,Cris Mj,N/A
67,Chale!,Eden Munoz,N/A
147,Elliot's Song,Dominic Fike & Zendaya,N/A
149,Rocking A Cardigan In Atlanta,Lil Shordie Scott,N/A
65,Jordan,Ryan Castro,N/A
138,O.O,NMIXX,N/A
169,DARARI,TREASURE,N/A
184,Last Call,Khalid,N/A
195,War,King Von,N/A
12,Sweetest Pie,Megan Thee Stallion & Dua Lipa,N/A
35,What Happened To Virgil,Lil Durk,Gunna
42,Petty Too,Lil Durk,Future
32,Bones,Imagine Dragons,N/A
49,Thinking With My Dick,Kevin Gates,Juicy J
65,No Interviews,Lil Durk,N/A
72,Golden Child,Lil Durk,N/A
94,Barbarian,Lil Durk,N/A
100,Started From,Lil Durk,N/A
102,Shootout @ My Crib,Lil Durk,N/A
113,Headtaps,Lil Durk,N/A
123,Hati-Hati di Jalan,Tulus,N/A
148,Smoking & Thinking,Lil Durk,N/A
162,Grow Up/Keep It On Speaker,Lil Durk,N/A
176,Blocklist,Lil Durk,N/A
180,Zeit,Rammstein,N/A
183,Difference Is,Lil Durk,Summer Walker
66,Tom's Diner,AnnenMayKantereit & Giant Rooks,N/A
21,Maniac,Stray Kids,N/A
37,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),N/A
58,Tomboy,(G)I-DLE,N/A
54,Sentadona (Ai Calica),"MC Frog, Davi Kneip E DJ Gabriel Do Borel",N/A
36,Feel My Rhythm,Red Velvet,N/A
66,Blick Blick!,Coi Leray & Nicki Minaj,N/A
72,Chicken Teriyaki,Rosalia,N/A
75,Candy,Rosalia,N/A
